PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
350,100,0,1550,1725,266,4.5,0,90,0,17.64579757,26.523502,28.36366369
350,140,210,1300,1800,266,0,35,0,0,44.12396791,59.80530146,67.36640171
350,150,150,1160,1900,260,10,0,40,0,37.20973633,49.19679087,54.15107001
350,150,150,1160,1900,260,11,0,40,0,34.40156918,48.76893573,57.41036827
350,150,150,1218,1892,260,9,0,36,0,33.60104118,51.6848855,57.17921061
350,150,150,1380,1800,247,0,0,48,0,43.53953211,61.71052321,69.01412394
350,150,250,1420,1500,242,0,25,15,0,43.06783106,61.03894092,70.41704573
350,150,250,1420,1500,300,0,25,15,0,39.6621069,56.537032,64.66031287
351,0,234,1350,1750,267,1.2,35.1,0,0,28.66065548,40.44064022,
351,0,234,1355,1750,271,1,27,0,0,24.8900836,37.6453896,
351,185,0,1434,1834,273,11,0,0,0,15.02466701,25.78461155,30.94799211
360,0,240,1290,1610,292,6,0,30,0,30.80101438,40.54649246,
360,0,240,1305,1655,262,7,0,37,0,26.40812272,39.42778952,37.32219773
360,0,240,1320,1650,263,2.5,0,16,0,27.7686459,40.10069024,
360,0,240,1335,1725,264,3,0,36,0,30.88502827,46.01020938,
360,0,240,1350,1700,270,2.5,0,17,0,28.07183424,42.8199062,53.1068889
360,0,240,1360,1700,264,4,0,16,0,29.67298404,40.02108408,
360,0,240,1385,1800,270,0,0,39,0,30.22890558,43.96274765,
360,0,240,1492,1700,283,0,0,24,0,29.415122,46.84787665,47.83365758
360,0,240,1538,825,292,6,18,0,0,21.00603547,39.13925427,39.7827652
366,0,244,1174,1775,267,3.5,21.2,0,0,27.93986577,40.73489872,
366,0,244,1238,1770,258,2.4,0,21.2,0,26.18089318,38.82073993,
366,0,244,1238,1770,262,2.4,0,21.2,0,26.63513237,36.82089122,
366,0,244,1350,1750,250,3.4,20.3,0,0,24.37332482,38.51283291,
367,0,244,1340,1550,300,1.5,24.4,24,0,29.82845545,45.80336813,
370,153,225,1240,1675,263,0,0,30,0,40.81751785,60.44950128,65.93877195
