PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
180,11,180,240,0,1290,1950,209,18,0,71,0,0,0,9,6,4,600,0.348333333,0.185185185,0.7,0.601851852,0.398148148,319.38342,30.19562258,46.59163069,51.97910316
180,11,180,240,0,1290,2060,192,32,0,32,0,0,0,9,6,4,600,0.32,0.179104478,0.7,0.614925373,0.385074627,319.59407,33.9759446,51.4588302,58.54721117
185,11,0,440,0,1265,1960,235,5,0,75,0,0,0,6,1.8,4,625,0.376,0.19379845,0.704,0.607751938,0.392248062,318.313245,43.79321727,56.49872778,
188,6,187,250,0,1265,1800,228,8.5,0,52,0,0,0,9,6,4,625,0.3648,0.203915171,0.6992,0.587275693,0.412724307,332.326845,35.54109732,52.94959765,66.82470336
188,11,187,250,0,1235,1700,200,20,65,40,512,0,0,5,6,4,625,0.32,0.212947189,0.6992,0.579216354,0.420783646,332.028155,40.7825054,66.37355627,
195,6,0,455,0,1145,1870,260,9.8,0,50,0,0,0,6,5.5,5,650,0.4,0.215588723,0.7,0.620232172,0.379767828,332.152135,41.023822,52.56679937,
195,6,0,455,0,1250,1850,242,3,0,35,3,0,0,8,6,5,650,0.372307692,0.209677419,0.7,0.596774194,0.403225806,332.489,41.0755327,54.83632453,56.8128224
195,6,130,325,0,1190,1735,245,6,0,46,0,0,0,8,0,5,650,0.376923077,0.222222222,0.7,0.593162393,0.406837607,340.374395,33.39966897,52.9862306,56.50589437
195,11,0,455,0,1230,1850,238,3.3,0,104,0,0,0,25,6,4,650,0.366153846,0.211038961,0.7,0.600649351,0.399350649,332.41754,51.82011684,61.1541437,
195,11,0,455,0,1250,1850,242,3,0,35,3,0,0,8,6,5,650,0.372307692,0.209677419,0.7,0.596774194,0.403225806,332.489,30.6299713,47.28656233,58.8467766
195,11,0,495,0,1250,1850,242,3,15,35,0,0,0,8,6,4,690,0.350724638,0.222580645,0.717391304,0.596774194,0.403225806,343.049,41.1789541,54.77312257,58.76921055
198,6,198,264,0,1141,1750,250,0,0,40,0,0,0,8,5,4,660,0.378787879,0.228294708,0.7,0.605326877,0.394673123,349.572043,30.4748392,49.32051653,56.9162438
198,6,198,264,0,1186,1750,250,5,0,40,0,24,0,9,6,4,660,0.378787879,0.22479564,0.7,0.596049046,0.403950954,349.732828,35.66977568,53.46797986,
198,6,198,264,0,1345,1550,249,5,0,55,0,0,0,21,5,4,660,0.377272727,0.227979275,0.7,0.535405872,0.464594128,349.917935,32.67409085,49.67036176,58.49354506
198,11,198,264,0,1186,1750,250,0,0,40,0,0,0,8,6,4,660,0.378787879,0.22479564,0.7,0.596049046,0.403950954,349.732828,37.20584865,53.59986424,58.55030192
200,2,300,0,0,1430,1460,297,2.5,0,20,0,0,0,8,4,6,500,0.594,0.173010381,0.6,0.505190311,0.494809689,315.90529,11.07170775,20.77829945,29.25509348
