PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
250,0,250,0,1078,2060,260,3.8,17.5,0.0,0.0,500,0.52,0.159337157,0.5,0.656469089,0.343530911,,39.50326224,45.50136026
274,140,443,0,1197,1738,279,0.0,0.0,40.0,0.0,857,0.325554259,0.291993186,0.680280047,0.592163543,0.407836457,55.69350338,60.93296383,80.79991071
274,140,443,0,1210,1738,279,0.0,40.0,81.0,0.0,857,0.325554259,0.290705563,0.680280047,0.589552239,0.410447761,54.18596774,66.42978139,72.98693143
275,0,275,0,1024,2300,215,4.4,80.0,0.0,0.0,550,0.390909091,0.165463297,0.5,0.691937425,0.308062575,45.9535754,53.13561707,
275,0,413,0,1065,1870,255,5.1,0.0,27.5,0.0,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,34.72779412,48.9167568,63.243815025
275,0,413,0,1070,1870,255,2.8,27.5,0.0,0.0,688,0.370639535,0.234013605,0.600290698,0.636054422,0.363945578,33.41906588,47.10756376,
275,0,413,0,1085,1870,255,5.5,0.0,34.4,0.0,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,34.03425905,51.563228745,
275,0,413,0,1085,1870,255,5.5,34.4,0.0,0.0,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,30.509313,44.4022544,
275,0,413,0,1140,1870,255,5.5,34.4,0.0,0.0,688,0.370639535,0.228571429,0.600290698,0.621262458,0.378737542,40.56876784,56.59448833,
275,0,413,0,1159,1870,254,6.8,0.0,42.0,384.0,688,0.369186047,0.227137669,0.600290698,0.617365467,0.382634533,,44.28027018,
275,0,413,0,1159,1870,255,7.0,55.0,0.0,0.0,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,35.42966445,53.67639884,53.8480756
275,0,413,0,1159,1870,255,7.5,0.0,42.0,384.0,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,,42.62972652,
275,0,413,0,1159,1870,255,7.5,0.0,55.0,0.0,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,,52.1071487,
280,105,315,0,1335,1500,238,25.0,0.0,89.0,0.0,700,0.34,0.24691358,0.6,0.529100529,0.470899471,47.207072745,61.986190655,
286,173,115,0,1535,1600,230,2.0,20.0,30.0,0.0,574,0.400696864,0.183094099,0.50174216,0.510366826,0.489633174,20.4429634,,
290,0,435,25,1450,1500,280,0.0,0.0,150.0,0.0,725,0.386206897,0.245762712,0.6,0.508474576,0.491525424,49.2630602,61.6046806,73.1534036
290,105,490,0,1325,1650,238,0.0,0.0,82.0,0.0,885,0.268926554,0.297478992,0.672316384,0.554621849,0.445378151,64.13315552,78.6519747,84.94874686
297,153,450,0,1373,1601,246,0.0,27.0,58.5,0.0,900,0.273333333,0.30262273,0.67,0.538332213,0.461667787,62.35067487,90.04322046,96.60060197
300,0,200,0,1424,1710,250,6.3,0.0,0.0,0.0,500,0.5,0.159540523,0.4,0.54562859,0.45437141,,35.55188975,
300,0,200,0,1424,1710,250,6.3,15.0,0.0,0.0,500,0.5,0.159540523,0.4,0.54562859,0.45437141,21.902354265,32.690355415,
300,0,300,0,1300,1700,270,1.5,0.0,20.0,0.0,600,0.45,0.2,0.5,0.566666667,0.433333333,25.85535,46.28682213,54.71375102
300,0,450,0,1038,1750,279,7.0,0.0,30.0,0.0,750,0.372,0.269010043,0.6,0.6276901,0.3723099,41.4030338,55.80159093,59.340901065
300,0,450,0,1112,1700,250,2.8,0.0,50.0,0.0,750,0.333333333,0.266714083,0.6,0.60455192,0.39544808,56.23497585,80.02518107,
300,0,450,0,1121,1700,283,5.0,0.0,75.0,0.0,750,0.377333333,0.265863169,0.6,0.602623183,0.397376817,53.657816785,69.390449045,
300,0,450,0,1121,1700,284,5.0,0.0,25.0,0.0,750,0.378666667,0.265863169,0.6,0.602623183,0.397376817,50.04028769,72.03979539,
300,0,450,0,1240,1700,284,8.0,25.0,75.0,0.0,750,0.378666667,0.255102041,0.6,0.578231293,0.421768707,53.26648983,73.4467443,
300,0,450,0,1245,1600,284,8.0,25.0,75.0,0.0,750,0.378666667,0.263620387,0.6,0.562390158,0.437609842,57.56894775,72.71208731,
300,0,450,0,1481,1500,276,0.0,0.0,0.0,0.0,750,0.368,0.251593425,0.6,0.50318685,0.49681315,40.1102663,62.5354732,
300,65,483,25,1370,1646,220,0.0,30.0,65.0,0.0,848,0.259433962,0.281167109,0.646226415,0.545755968,0.454244032,77.7964244,106.0790746,111.0426244
300,100,450,0,1260,1380,340,0.0,0.0,40.0,0.0,850,0.4,0.321969697,0.647058824,0.522727273,0.477272727,51.27821051,,88.7010874
300,100,450,0,1260,1400,340,0.0,0.0,40.0,0.0,850,0.4,0.319548872,0.647058824,0.526315789,0.473684211,43.48100839,73.06247271,81.90086918
300,120,180,0,1180,1940,238,9.0,0.0,37.0,0.0,600,0.396666667,0.192307692,0.5,0.621794872,0.378205128,31.0953676,42.17294867,
300,120,180,0,1200,1800,233,10.0,0.0,40.0,0.0,600,0.388333333,0.2,0.5,0.6,0.4,31.90080093,46.5793271,
300,120,180,0,1200,1830,220,12.0,0.0,37.0,0.0,600,0.366666667,0.198019802,0.5,0.603960396,0.396039604,34.42365629,51.78460786,52.49815417
300,120,180,0,1200,1830,232,4.0,0.0,45.0,0.0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,35.733338280000005,51.539350465000005,55.49236185833333
300,120,180,0,1200,1830,232,4.0,45.0,45.0,0.0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,33.2499801,47.50817962,50.5684239
300,120,180,0,1200,1830,233,4.0,0.0,36.0,0.0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,38.20846167,62.06816169,
300,120,180,0,1200,1830,233,8.0,0.0,40.0,0.0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,34.821939175,51.29809637,57.79314999
