PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
210,0,490,0,1010,1970,260,5.6,50,0,0,700,0.371428571,0.234899329,0.7,0.661073826,0.338926174,38.51585305,,
210,0,490,0,1102,1870,260,6,0,50,0,700,0.371428571,0.235531629,0.7,0.629205922,0.370794078,34.9219594,44.23882305,
210,175,315,0,1280,1600,245,10,0,55,0,700,0.35,0.243055556,0.7,0.555555556,0.444444444,36.8524922,52.58403627,
210,0,490,0,1102,1870,260,7,45,0,0,700,0.371428571,0.235531629,0.7,0.629205922,0.370794078,56.1233464,70.00939304,
225,225,300,0,1390,1650,267,0,19,21,0,750,0.356,0.246710526,0.7,0.542763158,0.457236842,34.36348384,,66.50379062
225,0,525,100,1810,985,298,0,20,80,25,750,0.397333333,0.268336315,0.7,0.352415027,0.647584973,58.48767452,67.63092563,72.81670933
225,225,300,0,1229,1600,254,3.8,20.6,31.9,0,750,0.338666667,0.265111347,0.7,0.565570873,0.434429127,29.57162564,44.39650877,52.3312284
225,225,300,0,1390,1650,267,0,19,21,0,750,0.356,0.246710526,0.7,0.542763158,0.457236842,33.40000497,67.16984881,80.54894091
225,225,300,0,1390,1665,267,0,18.8,22.5,0,750,0.356,0.245499182,0.7,0.545008183,0.454991817,25.8036393,,67.29860323
233,233,310,0,1225,1600,258,3.9,21.3,32.9,0,776,0.332474227,0.274690265,0.699742268,0.566371681,0.433628319,50.20847805,68.58179468,73.79308411
233,233,310,0,1370,1601,250,0,23.3,50.4,0,776,0.322164948,0.261191518,0.699742268,0.538875799,0.461124201,55.81997696,70.16107776,75.71595607
240,0,560,0,1400,1650,264,0,0,100,0,800,0.33,0.262295082,0.7,0.540983607,0.459016393,52.50129915,68.90666236,70.72185157
246,0,164,0,1520,1750,250,3.3,8.2,0,0,410,0.609756098,0.125382263,0.4,0.535168196,0.464831804,13.5482034,24.76367967,
250,0,250,0,925,2400,200,0,0,0,0,500,0.4,0.15037594,0.5,0.721804511,0.278195489,32.56624973,52.81769202,63.65012607
250,0,250,0,1078,2060,260,3.8,17.5,0,0,500,0.52,0.159337157,0.5,0.656469089,0.343530911,,39.50326224,45.50136026
264,0,396,0,1527,825,246,3.5,0,38,0,660,0.372727273,0.280612245,0.6,0.350765306,0.649234694,26.0449559,39.4380272,49.48139427
274,140,443,0,1197,1738,279,0,0,40,0,857,0.325554259,0.291993186,0.680280047,0.592163543,0.407836457,55.69350338,60.93296383,80.79991071
274,140,443,0,1210,1738,279,0,40,81,0,857,0.325554259,0.290705563,0.680280047,0.589552239,0.410447761,54.18596774,66.42978139,72.98693143
274,140,443,0,1126,1606,275,13,0,40,0,857,0.320886814,0.313689605,0.680280047,0.587847731,0.412152269,37.29080194,45.2296256,52.10140307
274,140,443,0,1300,1606,292,0,0,75,0,857,0.340723454,0.294907089,0.680280047,0.55264969,0.44735031,63.31458108,66.28162613,84.35164297
275,0,413,0,1065,1870,255,5.1,0,27.5,0,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,20.79663905,38.06099041,
275,0,413,0,1159,1870,254,6.8,0,42,384,688,0.369186047,0.227137669,0.600290698,0.617365467,0.382634533,,44.28027018,
275,0,413,0,1159,1870,255,7.5,0,42,384,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,,42.62972652,
275,0,413,0,1159,1870,255,7.5,0,55,0,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,,52.1071487,
275,0,413,0,1159,1870,255,7,55,0,0,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,35.42966445,53.67639884,53.8480756
275,0,413,0,1070,1870,255,2.8,27.5,0,0,688,0.370639535,0.234013605,0.600290698,0.636054422,0.363945578,33.41906588,47.10756376,
275,0,413,0,1085,1870,255,5.5,0,34.4,0,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,35.5941985,52.80237033,
275,0,413,0,1085,1870,255,5.5,34.4,0,0,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,30.509313,44.4022544,
275,0,413,0,1140,1870,255,5.5,34.4,0,0,688,0.370639535,0.228571429,0.600290698,0.621262458,0.378737542,40.56876784,56.59448833,
275,0,275,0,1024,2300,215,4.4,80,0,0,550,0.390909091,0.165463297,0.5,0.691937425,0.308062575,45.9535754,53.13561707,
275,0,413,0,1065,1870,255,5.1,0,27.5,0,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,45.59196724,60.1912548,70.72106012
275,0,413,0,1065,1870,255,5.1,0,27.5,0,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,37.79477607,48.49802519,55.76656993
275,0,413,0,1085,1870,255,5.5,0,34.4,0,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,32.4743196,50.32408716,
280,105,315,0,1335,1500,238,25,0,89,0,700,0.34,0.24691358,0.6,0.529100529,0.470899471,50.7109598,64.99460427,
280,105,315,0,1335,1500,238,25,0,89,0,700,0.34,0.24691358,0.6,0.529100529,0.470899471,43.70318569,58.97777704,
286,173,115,0,1475,1740,230,2,20,40,0,574,0.400696864,0.178538103,0.50174216,0.541213064,0.458786936,19.650066,,
286,173,115,0,1535,1600,230,2,20,30,0,574,0.400696864,0.183094099,0.50174216,0.510366826,0.489633174,20.4429634,,
288,89,466,45,1178,1686,240,0,0,95,0,843,0.284697509,0.294343575,0.658362989,0.588687151,0.411312849,77.81272919,90.5772282,96.61244146
288,160,495,35,1212,1606,252,0,0,105,0,943,0.267232238,0.334634493,0.694591729,0.569907736,0.430092264,66.38619402,77.95194763,85.22546483
288,160,541,0,1136,1506,330,0,0,41,0,989,0.333670374,0.374337623,0.708796764,0.57002271,0.42997729,46.9877894,70.40584174,73.90033593
290,0,435,25,1450,1500,280,0,0,150,0,725,0.386206897,0.245762712,0.6,0.508474576,0.491525424,49.2630602,61.6046806,73.1534036
290,105,490,0,1325,1650,238,0,0,82,0,885,0.268926554,0.297478992,0.672316384,0.554621849,0.445378151,64.13315552,78.6519747,84.94874686
291,86,470,50,1171,1616,257,0,0,126,0,847,0.303423849,0.303911015,0.656434475,0.579834948,0.420165052,80.32002163,95.83616765,101.4883629
291,86,470,50,1225,1752,233,0,0,126,0,847,0.275088548,0.284514612,0.656434475,0.588511925,0.411488075,77.22765201,97.68561632,98.76957944
291,86,470,50,1171,1616,257,0,0,126,0,847,0.303423849,0.303911015,0.656434475,0.579834948,0.420165052,74.88463474,90.68907653,100.4570952
291,86,470,50,1225,1752,233,0,0,126,0,847,0.275088548,0.284514612,0.656434475,0.588511925,0.411488075,76.27823563,78.37372189,78.72381886
297,153,450,0,1284,1601,246,0,0,58.5,0,900,0.273333333,0.311958406,0.67,0.554939341,0.445060659,65.07121271,66.6206185,82.71590535
297,153,450,0,1373,1601,246,0,27,58.5,0,900,0.273333333,0.30262273,0.67,0.538332213,0.461667787,70.41848213,102.8468367,108.937208
